date,course,race_id,off,race_name,class,pattern,age_band,dist_m,going,surface,ran,num,pos,draw,ovr_btn,horse_id,horse,age,sex,lbs,hg,secs,dec,jockey_id,jockey,trainer_id,trainer,or,rpr,sire_id,sire,dam_id,dam,damsire_id,damsire
2023-01-04,Happy Valley (HK),830221,11:15,Wai Yip Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1200.0,Good,Turf,12,7,6,3,2.75,3502423,Shenron (NZ),5,G,120,e/s,70.93,14.00,99123,Jerry Chau,39762,P C Ng,26,38,736090,Shocking (AUS),538537,Mi Centie (NZ),476611,Centaine
2023-01-04,Happy Valley (HK),830221,11:15,Wai Yip Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1200.0,Good,Turf,12,11,7,8,4,3347611,Travel Glory (NZ),5,G,117,b,71.18,8.80,88634,Karis Teetan,17998,Y S Tsui,22,29,597619,Savabeel (AUS),822026,Iguazus Girl (NZ),509318,Redoutes Choice
2023-01-04,Happy Valley (HK),830221,11:15,Wai Yip Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1200.0,Good,Turf,12,4,8,7,4.75,3065873,Fortune Hero (AUS),6,G,127,tb,71.33,31.00,88999,Ruan Maia,31473,Richard Gibson,32,37,726295,Starspangledbanner (AUS),3065872,Pachelbels Song (AUS),455703,Encosta De Lago
2023-01-04,Happy Valley (HK),830221,11:15,Wai Yip Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1200.0,Good,Turf,12,3,9,9,4.75,3036978,Wins All (AUS),7,G,129,tb,71.34,29.00,88536,K C Leung,28673,W Y So,34,38,509320,Testa Rossa (AUS),903582,Fragrant Storm (AUS),577888,Exceed And Excel
2023-01-04,Happy Valley (HK),830221,11:15,Wai Yip Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1200.0,Good,Turf,12,9,10,1,5.75,3293641,Little Player (NZ),6,G,118,tb,71.53,23.00,95725,Matthew Poon,35043,Jamie Richards,25,26,820752,Proisir (AUS),2560354,Scrutiny (AUS),577888,Exceed And Excel
2023-01-04,Happy Valley (HK),830221,11:15,Wai Yip Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1200.0,Good,Turf,12,12,11,6,7.5,3941868,Dashing Genius (AUS),4,G,106,t,71.88,20.00,101468,Angus Chung,12767,A S Cruz,21,17,837877,Zoustar (AUS),1531922,Dare To Dance (NZ),519564,Pins
2023-01-04,Happy Valley (HK),830221,11:15,Wai Yip Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1200.0,Good,Turf,12,5,12,11,8.25,3088439,Day Day Rich (AUS),6,G,124,tb,72.03,22.00,95383,L Hewitson,30441,T P Yung,29,22,727619,Love Conquers All (AUS),3088438,La Zap (AUS),449518,Elnadim
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,7,1,4,0,3023449,Legion Of Merit (NZ),6,G,124,tb,100.61,2.75,90687,C Y Ho,28673,W Y So,49,61,674931,Alamosa (NZ),827674,Fantastic Honour (NZ),673259,Any Suggestion
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,2,2,5,0.2,2594342,Red Brick Fighter (AUS),7,G,133,b,100.65,8.10,79529,Hugh Bowman,23445,D J Hall,58,70,588470,Artie Schiller (USA),814000,Tarlaquena (NZ),559670,Don Eduardo
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,4,3,6,.75,4804237,Eighteen Palms (NZ),4,G,127,p,100.76,8.10,82339,Zac Purton,16058,C S Shum,52,63,845972,El Roca (AUS),3225221,Buttermilk (AUS),518730,More Than Ready
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,1,4,7,3.25,1957500,Villa Fionn (AUS),8,G,125,b,101.26,8.40,101468,Angus Chung,13936,P F Yiu,60,65,704777,Sebring (AUS),1957499,Aeronwy (IRE),640322,Dylan Thomas
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,10,5,2,3.25,1701024,Noble Steed (AUS),9,G,120,,101.27,9.40,95725,Matthew Poon,12762,K W Lui,47,52,537646,Street Cry (IRE),690964,Extension Of Time (AUS),545277,Dash For Cash
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,9,6,1,3.75,3269766,River Views (AUS),4,G,122,,101.36,11.00,99123,Jerry Chau,30441,T P Yung,49,53,633815,Written Tycoon (AUS),3269765,Sparks Alight (AUS),564138,Rakti
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,8,7,10,4.5,2861811,Lifeline Vision (AUS),6,G,124,p,101.51,15.00,88536,K C Leung,3550,David A Hayes,49,51,804723,Pierro (AUS),759572,Princess Quality (AUS),466191,Elusive Quality
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,3,8,8,5,4099077,Gang Of Brothers (AUS),5,G,129,v,101.61,10.00,95383,L Hewitson,39762,P C Ng,54,55,852074,Unencumbered (AUS),2230717,Assasi (AUS),519563,Commands
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,6,9,11,5.25,4292088,Lucky Banner (IRE),4,G,126,ht,101.66,29.00,88632,Harry Bentley,16095,C Fownes,51,51,726295,Starspangledbanner (AUS),1008771,Bequia (IRE),779353,Helmet
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,5,10,12,5.25,1049186,Right Honourable (IRE),9,G,127,het,101.67,49.00,83746,Silvestre De Sousa,31473,Richard Gibson,52,52,683514,Famous Name (GB),544384,Agnetha (GER),22027,Big Shuffle
2023-01-04,Happy Valley (HK),830222,11:45,Tsun Yip Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1600.0,Good,Turf,12,12,11,9,5.75,4045814,Super Hornet (NZ),4,G,117,tb,101.76,19.00,88634,Karis Teetan,36353,Douglas Whyte,42,41,869262,Sweynesse (AUS),3564037,Klairevoyant (AUS),510321,Flying Spur
